X,Y,Z,energy,LJ,Coulomb_ewald,Coulomb_real,Coulomb_fourier,alpha,tail_correction,k_vec
0.2517253333333336,1.258616666666667,3.3496424000000005,10141270.77910673,10141883.1150566,-612.33594987,848.09508552,-1460.4310354,0.341429,-21026.51913251,13;13;11
0.2517253333333336,1.258616666666667,3.8649720000000007,1735256.85174065,1737952.31784098,-2695.46610032,-1213.11327852,-1482.3528218,0.341429,-21026.51913251,13;13;11
0.25172533333333363,1.258616666666667,4.3803016,133887.88899671,137848.53714549,-3960.64814878,-2584.28230965,-1376.36583913,0.341429,-21026.51913251,13;13;11
0.25172533333333363,1.258616666666667,4.8956312,17515.45190266,21109.50496843,-3594.05306577,-2430.36299428,-1163.69007149,0.341429,-21026.51913251,13;13;11
0.2517253333333337,1.258616666666667,5.410960800000001,2805.20752517,4795.96914886,-1990.76162369,-1102.50079151,-888.26083218,0.341429,-21026.51913251,13;13;11
0.25172533333333375,1.2586166666666672,5.926290400000001,955.15643182,1077.16424718,-122.00781536,483.54937026,-605.55718562,0.341429,-21026.51913251,13;13;11
0.25172533333333375,1.2586166666666672,6.44162,1685.38868948,754.00836858,931.3803209,1299.33792527,-367.95760437,0.341429,-21026.51913251,13;13;11
0.2517253333333338,1.2586166666666672,6.956949600000001,763.96063115,217.13215124,546.82847991,757.84753192,-211.01905201,0.341429,-21026.51913251,13;13;11
0.2517253333333338,1.2586166666666672,7.472279200000001,-1358.23014821,-356.98336447,-1001.24678375,-855.56737462,-145.67940913,0.341429,-21026.51913251,13;13;11
0.25172533333333386,1.2586166666666672,7.9876088,-3701.3307135,-945.6055302,-2755.7251833,-2596.42724695,-159.29793635,0.341429,-21026.51913251,13;13;11
0.25172533333333386,1.2586166666666672,8.502938400000001,-5482.85652354,-1648.30756324,-3834.5489603,-3610.27970226,-224.26925805,0.341429,-21026.51913251,13;13;11
0.2517253333333339,1.2586166666666672,9.018268,-6036.6832754,-2031.7832944,-4004.899981,-3695.62602338,-309.27395762,0.341429,-21026.51913251,13;13;11
0.25172533333333397,1.2586166666666674,9.5335976,-5784.04045419,-2066.50142611,-3717.53902808,-3329.81559001,-387.72343807,0.341429,-21026.51913251,13;13;11
0.25172533333333397,1.2586166666666674,10.048927200000001,-5771.10465137,-1971.75173708,-3799.35291428,-3358.3443633,-441.00855099,0.341429,-21026.51913251,13;13;11
0.251725333333334,1.2586166666666674,10.5642568,-6171.72293619,-1105.55879961,-5066.16413659,-4607.83044385,-458.33369274,0.341429,-21026.51913251,13;13;11
0.251725333333334,1.2586166666666674,11.0795864,3025.12700281,11183.70466103,-8158.57765822,-7721.73459672,-436.8430615,0.341429,-21026.51913251,13;13;11
0.2517253333333341,1.2586166666666674,11.594916000000001,195166.59731945,209024.19562917,-13857.59830973,-13473.64983861,-383.94847111,0.341429,-21026.51913251,13;13;11
0.2517253333333341,1.2586166666666674,12.1102456,3833417.72548246,3856509.21274936,-23091.4872669,-22771.52351736,-319.96374954,0.341429,-21026.51913251,13;13;11
0.25172533333333413,1.2586166666666674,12.6255752,44089.82039741,76988.35034174,-32898.52994433,-32621.70218996,-276.82775437,0.341429,-21026.51913251,13;13;11
0.2517253333333334,1.7620633333333335,0.2576648,1762211.23269397,1832663.00860238,-70451.77590841,-70712.26508308,260.48917467,0.341429,-21026.51913251,13;13;11
0.25172533333333347,1.7620633333333335,0.7729944,9324480.74267796,9345119.35238536,-20638.6097074,-20797.33062011,158.7209127,0.341429,-21026.51913251,13;13;11
0.25172533333333347,1.7620633333333335,1.2883240000000002,14869812.89984467,14865187.03825711,4625.86158756,4732.85045337,-106.98886581,0.341429,-21026.51913251,13;13;11
0.2517253333333335,1.7620633333333335,1.8036535999999999,7354478.42890971,7348413.61187019,6064.81703952,6561.02260295,-496.20556343,0.341429,-21026.51913251,13;13;11
0.2517253333333336,1.7620633333333338,2.3189832,3316697.09175276,3314287.45838735,2409.63336542,3339.84916585,-930.21580043,0.341429,-21026.51913251,13;13;11
0.2517253333333336,1.7620633333333338,2.8343128,1719.98414509,-67.98381199,1787.96795708,3100.6438586,-1312.67590152,0.341429,-21026.51913251,13;13;11
0.25172533333333363,1.7620633333333338,3.3496424000000005,364.21612271,-99.69494354,463.91106625,2019.13827332,-1555.22720707,0.341429,-21026.51913251,13;13;11
0.25172533333333363,1.7620633333333338,3.8649720000000007,10085532.09117591,10089665.3965031,-4133.3053272,-2533.00974255,-1600.29558465,0.341429,-21026.51913251,13;13;11
0.2517253333333337,1.7620633333333338,4.3803016,416173.83185497,423516.0163401,-7342.18448513,-5906.78901143,-1435.39547371,0.341429,-21026.51913251,13;13;11
0.2517253333333337,1.7620633333333338,4.8956312,55317.58970461,62026.21387137,-6708.62416675,-5612.55397121,-1096.07019554,0.341429,-21026.51913251,13;13;11
0.25172533333333375,1.7620633333333338,5.410960800000001,12900.42552591,15820.52401306,-2920.09848715,-2263.11843919,-656.98004795,0.341429,-21026.51913251,13;13;11
0.2517253333333338,1.762063333333334,5.926290400000001,5208.50458573,3403.03684834,1805.46773739,2018.38113618,-212.91339879,0.341429,-21026.51913251,13;13;11
